ID;Nom_Fondation;Groupe_Parent;Priorite;Thematiques_Cibles;Nom_Contact;Poste_Contact;Email_Contact;Site_Web;Lien_Depot_AAP;Ticket_Moyen_Estime;Type_Approche;Angle_Pitch_Ambition_Campus;Statut_Prospection;Notes_Action
FOND-11;Fondation TotalEnergies;TotalEnergies SE;Tier 2 - Grand Donateur;Éducation, Insertion des jeunes vulnérables, Égalité des chances;Jacques-Emmanuel Saulnier;Délégué Général Fondation TotalEnergies;fondation@totalenergies.com / 01 47 44 45 46;https://fondation.totalenergies.com;https://fondation.totalenergies.com/fr/candidater (Plateforme annuelle);20 000 € - 50 000 €;Candidature AAP national / territorial + Contact institutionnel;Grande échelle : 500+ lycéens/an, 36 lycées conventionnés sur 4 régions françaises.;À contacter;Surveiller l'ouverture du prochain AAP national ou déposer une demande spontanée.
FOND-12;Fondation Groupe SNCF;SNCF;Tier 3 - Partenaire Institutionnel;Insertion des jeunes, Réussite éducative, Construction de parcours de vie;Laetitia Gourbeille;Déléguée Générale Fondation Groupe SNCF;fondation@sncf.fr;https://www.fondation-sncf.org;Dispositif Coups de Cœur Citoyens & Partenariats pluriannuels;10 000 € - 25 000 €;Email direct de prise de contact institutionnelle;Accompagnement dans la durée (mentorat sur 1 à 3 ans) et présence territoriale (Paris, Reims, Poitiers, Menton).;À contacter;Envoyer une présentation synthétique à fondation@sncf.fr.
FOND-13;Fondation Groupe RATP;Groupe RATP;Tier 3 - Partenaire Institutionnel;Insertion sociale, Éducation, Égalité des chances en Île-de-France;Direction de la Fondation Groupe RATP;Secrétaire Général & Responsables Mécénat;fondation@ratp.fr;https://www.ratp.fr/groupe-ratp/fondation-groupe-ratp;Appels à projets thématiques annuels Île-de-France;10 000 € - 20 000 €;Candidature AAP + Approche territoriale francilienne;Forte implantation francilienne (445 binômes actifs dans les départements 75, 92, 93, 94).;À contacter;Positionner le dossier sur la mobilité sociale et l'accès aux études supérieures.
FOND-14;Fondation Groupe ADP (Aéroports de Paris);Groupe ADP;Tier 3 - Partenaire Institutionnel;Éducation, Prévention du décrochage, Insertion jeunes en Île-de-France;Direction RSE & Mécénat Groupe ADP;Responsable des Partenariats Mécénat;fondation@adp.fr;https://www.parisaeroport.fr;Appels à projets annuels (Ouverture Janvier-Mars);10 000 € - 20 000 €;Candidature AAP sur les territoires 93/94/95 proches aéroports;Accompagnement intensif des lycées situés sur les bassins Roissy / Orly.;À contacter;Cibler les lycées conventionnés situés à proximité des plateformes aéroportuaires.
FOND-15;Fondation Orange;Orange;Tier 3 - Télécoms & Tech;Éducation numérique, Insertion des jeunes et des femmes, Tiers-Lieux Solidaires;Direction de la Fondation Orange;Responsable Programmes Éducation & Insertion;fondation.orange@orange.com;https://www.fondationorange.com;https://www.fondationorange.com/fr/candidater (Plateforme AAP);15 000 € - 30 000 €;Candidature AAP + Mécénat de compétences;Digitalisation des oraux blancs et accès aux outils d'orientation pour lycéens REP.;À contacter;Contacter l'antenne régionale Île-de-France à Issy-les-Moulineaux (111 quai Roosevelt).
FOND-16;Fondation Free (Groupe Iliad);Iliad / Free;Tier 3 - Télécoms & Tech;Inclusion numérique, Émancipation, Égalité des chances par l'éducation;Direction de la Fondation Free;Responsable Mécénat & Projets;fondation@iliad.fr;https://www.iliad.fr/fr/engagements/fondation-free;Appels à projets réguliers sur la plateforme Iliad;10 000 € - 20 000 €;Dépôt AAP + Mise en avant de l'audace et de l'anticonformisme;Briser les codes : « Rendre la pareille, c'est notre identité », modèle 100% bénévole.;À contacter;Valoriser le lien avec l'esprit d'émancipation de l'École 42 / Station F (lieux de visite).
FOND-17;Fondation ENGIE;ENGIE;Tier 3 - Énergie & Climat;Inclusion de la jeunesse, Éducation, Égalité des chances, Emploi;Direction Mécénat ENGIE;Responsable des Projets Jeunesse;fondation.engie@engie.com;https://projets.fondation-engie.com;https://projets.fondation-engie.com/ (Plateforme de dépôt en continu);10 000 € - 25 000 €;Dépôt direct sur portail officiel;Impact mesurable et systémique : 17 ans de recul, note de satisfaction 9,2/10.;À contacter;Créer un compte sur le portail projets.fondation-engie.com et soumettre le projet.
FOND-18;Fondation Francis Bouygues;Groupe Bouygues;Tier 3 - Grand Groupe;Bourses d'excellence, Parrainage de bacheliers méritants de milieux modestes;Direction de la Fondation Francis Bouygues;Délégué Général & Responsable Bourses;fondationfrancisbouygues@bouygues.com;https://www.fondationfrancisbouygues.com;Contact direct partenariats associatifs;10 000 € - 25 000 €;Partenariat de sourcing bourses + Soutien financier;Ambition Campus prépare et coache les bacheliers qui intègrent les filières d'excellence (Sciences Po, CPGE).;À contacter;Proposer un partenariat passerelle pour flécher les lycéens admis vers leurs bourses d'études.
FOND-19;Fondation TF1;Groupe TF1 (Bouygues);Tier 3 - Médias;Égalité des chances, Diversité dans les médias, Prise de parole & Éloquence;Direction RSE & Fondation TF1;Responsable Fondation TF1;fondationtf1@tf1.fr;https://groupe-tf1.fr/fr/engagements-rse/notre-fondation;Contact direct partenariats;8 000 € - 15 000 €;Mécénat financier + Parrainage du concours annuel d'éloquence;Ateliers d'art oratoire (Ethos/Pathos/Logos), AC Décrypte et documentaire « Mérite sous condition ».;À contacter;Proposer à TF1 de parrainer la finale du concours d'éloquence et de composer le jury.
FOND-20;Fondation FDJ (FDJ United);La Française des Jeux (FDJ);Tier 3 - Grand Groupe;Égalité des chances par le jeu et l'éducation, Insertion des publics vulnérables;Direction de la Fondation FDJ;Responsable Mécénat & Appels à Projets;fondation@fdjunited.com;https://www.fdjunited.com;https://www.fdjunited.com (Appels à projets thématiques annuels);15 000 € - 30 000 €;Candidature AAP + Email d'accroche;Pédagogie active et émancipation : ateliers oraux blancs ludifiés, simulations d'entretiens.;À contacter;Surveiller les dates du prochain appel à projets Égalité des chances FDJ.
FOND-21;Fondation AlphaOmega;Venture Philanthropy France;Tier 4 - Venture Philanthropy;Réussite scolaire, Lutte contre le décrochage, Égalité des chances (Changement d'échelle);Équipe Investissement & Partenariats;Directeur des Investissements Philanthropiques;contact@alphaomega-fondation.org;https://www.alphaomega-fondation.org;Candidature partenariats pluriannuels;25 000 € - 75 000 €;Dossier stratégique de changement d'échelle;Modèle d'accompagnement éprouvé (17 ans), 525 binômes actifs, fort potentiel d'expansion nationale.;À préparer pour échange stratégique;Préparer un pitch d'expansion nationale sur le modèle du Social ROI.
FOND-22;Break Poverty Foundation;Fondation Reconnue d'Utilité Publique;Tier 4 - Philanthropie d'Impact;Prévention de la pauvreté, Mentorat, Accompagnement à l'orientation et à l'insertion;Équipe Projets & Partenariats;Responsable des Programmes Territoires Zéro Décrochage;contact@breakpoverty.com (01 85 76 50 50);https://www.breakpoverty.com;Programmes territoriaux d'insertion;15 000 € - 35 000 €;Prise de contact institutionnelle (Siège : 81 rue de Lille, Paris 7e);Mentorat individuel de 500+ jeunes en milieu populaire comme bouclier contre l'autocensure.;À contacter;Contacter l'équipe partenariats par email et téléphone.
FOND-23;Fondation FACE (Agir Contre l'Exclusion);Fondation Reconnue d'Utilité Publique;Tier 4 - Réseau Entreprises & QPV;Lutte contre l'exclusion, Égalité des chances, Insertion en QPV;Direction des Partenariats Nationaux;Responsable Projets Éducation & Territoires;contact@fondationface.org;https://www.fondationface.org;Concours « S'engager pour les Quartiers » & Appels à projets;10 000 € - 20 000 €;Candidature concours quartiers + conventionnement réseau;Impact direct dans les quartiers prioritaires : 36 lycées REP, 75 mentors engagés.;À contacter;Candidater au concours annuel « S'engager pour les Quartiers » de la Fondation FACE.
FOND-24;Fondation de France (Programme Éducation);1er Réseau Philanthropique de France;Tier 4 - Réseau Fondations;Éducation, Enfance, Émancipation des jeunes, Lutte contre le déterminisme;Département Philanthropie & Mécénat;Responsable du Programme Enfance / Éducation;donateurs@fdf.org;https://www.fondationdefrance.org;https://www.fondationdefrance.org/fr/trouver-un-financement;10 000 € - 30 000 €;Candidature aux AAP thématiques Éducation & Jeunesse;Action continue sur le terrain depuis 2008, 100% bénévole, transparence financière totale.;À contacter;Identifier l'AAP annuel « Éducation » et soumettre le projet de rentrée.
FOND-25;Fondation L'Oréal;L'Oréal;Tier 4 - Grand Donateur;Émancipation, Accès à l'éducation supérieure, Bourses d'excellence;Direction de la Fondation L'Oréal;Responsable Programmes Éducation & Inclusion;fondation.loreal@loreal.com (01 47 56 70 00);https://www.fondationloreal.com;Contact direct partenariats d'émancipation;15 000 € - 30 000 €;Email d'accroche direct sur l'émancipation des lycéennes de QPV;Forte proportion de lycéennes accompagnées accédant aux prépas et grandes écoles (Sciences Po, Assas, Sorbonne).;À contacter;Adresser une proposition de parrainage de promotion à fondation.loreal@loreal.com.
FOND-26;Fondation Decathlon;Decathlon;Tier 4 - Grand Donateur;Inclusion sociale, Éducation, Émancipation des jeunes vulnérables;Marie Pinel / Thomas Dumortier;Leader France / Chef de projet impact social;marie.pinel@decathlon.com / thomas.dumortier@decathlon.com;https://www.fondationdecathlon.com;Candidature partenariats locaux et nationaux;8 000 € - 18 000 €;Email direct aux responsables d'impact social;Posture, confiance en soi et dépassement personnel à travers l'éloquence et les concours.;À contacter;Envoyer un email d'approche à Marie Pinel et Thomas Dumortier.
FOND-27;Fondation d’Entreprise VINCI pour la Cité;Groupe VINCI;Tier 2 - Grand Donateur / BTP & Banque;Insertion sociale et professionnelle, lien social en quartiers fragilisés, mobilité solidaire, insertion par le logement, soutien aux associations en QPV.cnlj.bnf;Cécile Droux;Déléguée générale de la Fondation VINCI pour la Citévinci;contact via https://www.fondation-vinci.com/fondation- (direction mécénat);https://www.fondation-vinci.com/fondation-;"Dossiers soumis en continu et examinés par des comités de sélection régionaux ; pas de formulaire unique mais instruction au fil de l’eau avec parrainage salarié.fondation-vinci";15 000 € – 40 000 € par projet d’insertion (fourchette issue d’exemples et dotation globale de plusieurs M€).vinci;Candidature AAP / Contact mécénat direct;"Ambition Campus intervient en QPV et lycées REP pour lutter contre le décrochage et favoriser l’orientation vers l’emploi et les filières sélectives ; en finançant des ateliers d’orientation, d’éloquence et de mentorat, VINCI renforce son axe « lien social en territoires fragilisés » et insertion des jeunes, avec un coût unitaire très bas et des bénévoles mobilisables comme parrains.cnlj.bnf";À qualifier & contacter;Vérifier la session AAP sur https://www.fondation-vinci.com/fondation- et envoyer le PDF A4.
FOND-28;Fondation Eiffage;Groupe Eiffage;Tier 2 - Grand Donateur / BTP & Banque;Insertion socio‑professionnelle, formation, emploi, logement, sport et culture pour publics en difficulté.eiffage;Direction de la Fondation (équipe mécénat Eiffage);Responsable des projets d’insertion et mécénateiffage;"Candidature via plateforme en ligne ; emails de contact accessibles après création de compte, pas d’adresse nominative publique (pattern : prenom.nom@eiffage.com).eiffage";https://www.eiffage.com/groupe/presentation-de-la-fondation-eiffage;"Plateforme de dépôt de projets ; comités de sélection en mars, juin et novembre avec présélection 2 mois avant les comités.eiffage";10 000 € – 50 000 € par projet d’insertion (budget global 2,5 M€ sur 2019‑2024).eiffage;Candidature AAP / Contact mécénat direct;En soutenant des parcours d’insertion préventifs plutôt que curatifs, la Fondation Eiffage peut financer des promotions Ambition Campus qui accompagnent des lycéens QPV vers des métiers d’ingénierie, du BTP ou des études sélectives, tout en travaillant sur l’orientation, la confiance en soi et la préparation aux concours, à très fort rendement social.eiffage;À qualifier & contacter;Vérifier la session AAP sur https://www.eiffage.com/groupe/presentation-de-la-fondation-eiffage et envoyer le PDF A4.
FOND-29;Fondation Nexity;Nexity;Tier 2 - Grand Donateur / BTP & Banque;Ville inclusive, égalité des chances vers l’emploi, lutte contre la précarité des jeunes et des femmes, sport comme levier d’insertion sociale et professionnelle.pressroom.nexity;Direction de la Fondation Nexity;Délégué général / responsable des partenariats associatifspressroom.nexity;contact via formulaire / adresse email générique indiquée sur le site (presse@nexity.fr pour prise de contact initiale).pressroom.nexity;https://fondation-nexity.org/;"Appels à projets et partenariats construits avec les associations locales ; modalités de dépôt précisées suivant chaque programme sur le site.pressroom.nexity";10 000 € – 30 000 € par projet (budget annuel significatif, soutien à de nombreux projets jeunesse).pressroom.nexity;Candidature AAP / Contact mécénat direct;En intervenant auprès de jeunes fragiles pour leur redonner des perspectives d’avenir et des capacités d’agir, la Fondation Nexity trouve avec Ambition Campus une passerelle structurée entre quartiers populaires, lycées REP et filières supérieures, en complément de ses actions sportives et d’insertion par le logement.pressroom.nexity;À qualifier & contacter;Vérifier la session AAP sur https://fondation-nexity.org/ et envoyer le PDF A4.
FOND-30;Fondation Saint‑Gobain (Saint‑Gobain Initiatives et fondations métiers);Saint‑Gobain;Tier 4 - Fondation Abritée & Enseignement Supérieur;Insertion professionnelle des jeunes adultes, formation aux métiers du bâtiment, habitat social et durable, réduction de la précarité, projets en quartiers prioritaires.saint-gobain;Direction de la Fondation Saint‑Gobain;Délégué général Fondation Saint‑Gobain Initiativessaint-gobain;"contact via site (formulaire et coordonnées) ; pattern nominatif : prenom.nom@saint-gobain.com.saint-gobain";https://www.saint-gobain.com/fr/notre--actions-philanthropiquessaint-gobain;"Appels à projets et dossiers parrainés par des salariés ; instruction au fil de l’eau avec conventions de partenariat, sans calendrier unique public.saint-gobain";10 000 € – 50 000 € par projet (dotation annuelle d’environ 1 M€ et nombreux projets soutenus).saint-gobain;Candidature AAP / Contact mécénat direct;En ciblant l’insertion des jeunes et l’habitat social, la Fondation Saint‑Gobain peut financer des ateliers Ambition Campus liant orientation vers les métiers du bâtiment/ingénierie et réussite académique, à destination de lycéens QPV, en articulation avec ses CFA et écoles de la construction durable.saint-gobain;À qualifier & contacter;Vérifier la session AAP sur https://www.saint-gobain.com/fr/notre--actions-philanthropiquessaint-gobain et envoyer le PDF A4.
FOND-31;Fondation Gecina (fondation dédiée de Gecina);Gecina;Tier 2 - Grand Donateur / BTP & Banque;Mixité sociale, inclusion, culture de la solidarité en ville, projets sociaux dans les quartiers où Gecina est présente.gecina;Direction RSE / Fondation Gecina;Responsable RSE et fondation dédiéegecina;"contact via site corporate Gecina ; pattern nominatif : prenom.nom@gecina.fr.gecina";https://www.gecina.fr/fr/nos-engagementsgecina;"Pas de formulaire générique public ; projets instruits via partenariats et appels ciblés dans le cadre des engagements sociétaux.gecina";10 000 € – 30 000 € par projet (fondation dédiée avec enveloppe significative pour actions sociales).gecina;Candidature AAP / Contact mécénat direct;Ambition Campus permet à Gecina de renforcer son impact social dans les quartiers où elle est bailleur, en finançant des programmes de mentorat et préparation aux grandes écoles pour les jeunes habitants des résidences et quartiers populaires, en cohérence avec sa fondation dédiée à la solidarité et à l’environnement urbain.gecina;À qualifier & contacter;Vérifier la session AAP sur https://www.gecina.fr/fr/nos-engagementsgecina et envoyer le PDF A4.
FOND-32;Fondation Crédit Mutuel Alliance Fédérale;Crédit Mutuel Alliance Fédérale;Tier 2 - Grand Donateur / BTP & Banque;Égalité des chances des jeunes, inclusion sociale et professionnelle, mentorat, accès à la culture, handicap, lutte contre les inégalités territoriales.creditmutuel;Christophe Salmon;Délégué général de la Fondation Crédit Mutuel Alliance Fédéralecdnwmsi.e-i;fondation-af@creditmutuel.fr (email officiel de la fondation).cdnwmsi.e-i;https://fondation.creditmutuelalliancefederale.fr/fondation.creditmutuelalliancefederale;"Appels à projets thématiques (ex : « Égalité des chances des jeunes en situation de handicap ») avec dépôt en ligne jusqu’à une date définie ; par ex. jusqu’au 22 janvier 2024 dans le dernier AAP consulté.creditmutuel";20 000 € – 80 000 € par projet (4 M€ pour 66 projets dans un AAP handicap).creditmutuel;Candidature AAP / Contact mécénat direct;"Ambition Campus est une réponse structurée aux inégalités d’accès aux filières d’excellence pour des lycéens boursiers et QPV ; elle peut être intégrée dans les AAP « égalité des chances des jeunes » de la Fondation Crédit Mutuel, notamment via un volet mentorat et lutte contre l’autocensure vers les grandes écoles.creditmutuel";À qualifier & contacter;Vérifier la session AAP sur https://fondation.creditmutuelalliancefederale.fr/fondation.creditmutuelalliancefederale et envoyer le PDF A4.
FOND-33;Fondation Crédit Agricole Solidarité et Développement (CASD);Crédit Agricole;Tier 2 - Grand Donateur / BTP & Banque;Autonomie socio‑économique, insertion sociale et professionnelle, logement, santé et bien‑vieillir, santé des jeunes, formation, inclusion des jeunes fragiles.fondation-ca-solidaritedeveloppement;Direction de la Fondation CASD;Délégué général / responsable des programmes de mécénatfondation-ca-solidaritedeveloppement;"contact via formulaires sur le site CASD ; emails de contact accessibles après création de compte (pattern : prenom.nom@credit-agricole.com).fondation-ca-solidaritedeveloppement";https://www.fondation-ca-solidaritedeveloppement.org/-solidaritedeveloppement;"Appels à projets annuels (ex : santé des enfants et adolescents, prévention) avec dépôt en ligne entre octobre et novembre ; enveloppes de 300 000 € pour ~20 lauréats.creditagricole";10 000 € – 30 000 € par projet (soutiens représentant jusqu’à 30% du budget du projet).creditagricole;Candidature AAP / Contact mécénat direct;"Ambition Campus renforce l’autonomie socio‑économique de jeunes issus de milieux modestes en combinant mentorat, orientation et réussite académique ; ce type de programme peut entrer dans les axes « insertion économique et professionnelle » et « santé des jeunes » de CASD, en particulier via des AAP ciblant la prévention du décrochage.fondation-ca-paysdefrance";À qualifier & contacter;Vérifier la session AAP sur https://www.fondation-ca-solidaritedeveloppement.org/-solidaritedeveloppement et envoyer le PDF A4.
FOND-34;Fondation Sopra Steria – Institut de France;Sopra Steria / Institut de France;Tier 3 - Tech, Transport & Médias;Éducation et formation, inclusion sociale, insertion professionnelle des jeunes, innovation numérique au service de publics fragilisés.fondationsoprasteria;Consuelo Bénicourt;Directrice RSE / égalité des chances Sopra Sterialeparisien;"contact via Fondation Sopra Steria (formulaire) ; pattern nominatif : prenom.nom@soprasteria.com.fondationsoprasteria";https://www.fondationsoprasteria.org/fondationsoprasteria;"Appels à projets et prix « Entreprendre pour demain » ; candidatures en ligne pour projets éducatifs et d’inclusion par le numérique.fondationsoprasteria";10 000 € – 30 000 € par projet (plus de 120 projets soutenus en 20 ans).fondationsoprasteria;Candidature AAP / Contact mécénat direct;En mettant le numérique au service de l’humain et de l’inclusion, la Fondation Sopra Steria peut soutenir un volet d’outillage numérique d’Ambition Campus (plateformes de mentorat, suivi des binômes, e‑learning d’éloquence) pour des lycéens QPV, en cohérence avec sa politique d’égalité des chances et son engagement auprès de jeunes des quartiers prioritaires.soprasteria;À qualifier & contacter;Vérifier la session AAP sur https://www.fondationsoprasteria.org/fondationsoprasteria et envoyer le PDF A4.
FOND-35;Fondation Devoteam;Devoteam;Tier 3 - Tech, Transport & Médias;Mentorat, lutte contre les déterminismes et les inégalités, soutien aux associations de mentorat (Afev, Article 1, Télémaque, Proxité, Chemins d’avenirs), outillage digital.devoteam;Direction Fondation Devoteam;Délégué général de la Fondation Devoteamdevoteam;"contact via site Devoteam ; pattern nominatif : prenom.nom@devoteam.com.devoteam";https://www.devoteam.com/fr/ (section Fondation Devoteam)devoteam;"Sélection de projets en mécénat de compétences et soutien financier aux associations du Collectif Mentorat ; instruction au fil de l’eau.carenews";10 000 € – 50 000 € en mécénat financier + jours de compétences (890 jours donnés à 70 ONG en 2023).devoteam;Candidature AAP / Contact mécénat direct;"Ambition Campus opère sur le même terrain que les associations du Collectif Mentorat ; la Fondation Devoteam peut cofinancer sa transformation digitale (base données binômes, IA pour matching mentors‑élèves) tout en mobilisant ses consultants comme mentors pour lycéens QPV visant les métiers du numérique.devoteam";À qualifier & contacter;Vérifier la session AAP sur https://www.devoteam.com/fr/ (section Fondation Devoteam)devoteam et envoyer le PDF A4.
FOND-36;Fondation Capgemini (programmes Digital Literacy & Digital Academy);Capgemini;Tier 3 - Tech, Transport & Médias;Inclusion numérique, éducation au numérique pour jeunes défavorisés, formation aux compétences tech pour publics sous‑représentés.digital-skills-jobs.europa;Direction RSE / Fondation Capgemini;Responsable programmes Digital Literacy / Academydigital-skills-jobs.europa;"contact via portail RSE/CSR ; pattern nominatif : prenom.nom@capgemini.com.digital-skills-jobs.europa";https://www.capgemini.com (section sustainability / foundation)digital-skills-jobs.europa;"Appels à projets et partenariats avec écoles et associations ; modalités de dépôt selon chaque programme (Digital Literacy, Digital Academy).digital-skills-jobs.europa";20 000 € – 50 000 € par projet (plusieurs centaines de milliers de bénéficiaires chaque année).digital-skills-jobs.europa;Candidature AAP / Contact mécénat direct;Ambition Campus peut être un partenaire de Capgemini pour introduire les lycéens QPV aux métiers du numérique et aux études d’ingénierie, en ajoutant un volet de formation digitale et de sensibilisation aux carrières tech dans son accompagnement vers CPGE et écoles d’ingénieurs.digital-skills-jobs.europa;À qualifier & contacter;Vérifier la session AAP sur https://www.capgemini.com (section sustainability / foundation)digital-skills-jobs.europa et envoyer le PDF A4.
